id,name,description,color,layer,connections_count
"legacy-russell","Legacy
                                Russell","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"legado-ubuntu","Legado Ubuntu:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"legado-contraditório-das-macy","Legado contraditório das Macy:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"legislação-hostil","Legislação Hostil:","Conceito extraído de: A Revolução Cibernética","#10b981",0,0
"lei-trabalhista-de-2008","Lei
                                Trabalhista de 2008","Conceito extraído de: Capítulo 25: O Dragão Cibernético: China e a Explosão Informacional da Cibernética de Segunda
                    Ordem","#10b981",0,0
"lei-13467/2017","Lei 13.467/2017","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"lei-plurinacional-das-telecomunicações","Lei Plurinacional das Telecomunicações","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"lei-tendencial-da-queda-da-taxa-de-lucro","Lei Tendencial da Queda da Taxa de Lucro:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"lei-universal-da-dialética-informacional","Lei Universal da Dialética Informacional","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"lei-universal-da-dialética-informacional-homem-máquina","Lei Universal da Dialética Informacional Homem-Máquina","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"lei-da-queda-tendencial-da-taxa-de-lucro","Lei da Queda Tendencial da Taxa de Lucro","Conceito extraído de: Capítulo 5: Marx e a Crítica da Economia Política","#10b981",0,0
"lei-da-variedade-requisita","Lei da Variedade
                                Requisita","Conceito extraído de: Capítulo 6: Cibernética — Controle, Comunicação e Sociedade","#10b981",0,0
"lei-da-variedade-requisita","Lei da Variedade
                        Requisita","Conceito extraído de: Capítulo 11: A Síntese Informacional","#10b981",0,0
"lei-da-variedade-requisita-de-ashby","Lei da Variedade Requisita de Ashby","Conceito extraído de: Capítulo 18: Projeto Cybersyn — A Cibernética com Cheiro de Vinho Tinto e Empanadas","#ef4444",-1,0
"lei-de-metcalfe","Lei de
                            Metcalfe","Conceito extraído de: Capítulo 3: Capitalismo Digital — Uma Primeira Aproximação","#10b981",0,0
"lei-de-ashby","Lei de Ashby","Conceito extraído de: Capítulo 23: A Dupla Face da Cibernética: Controle e Libertação","#ef4444",-1,0
"lei-de-ashby-variedade-requisita","Lei de Ashby (Variedade Requisita):","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#ef4444",-1,0
"lei-de-empresas-econômicas-de-1950","Lei de Empresas Econômicas de 1950","Conceito extraído de: Capítulo 19: Outros Experimentos e a Nova Fronteira do Planejamento","#10b981",0,0
"lei-de-variedade-requisita","Lei de Variedade Requisita","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"lei-política","Lei política","Conceito extraído de: Capítulo 23: A Dupla Face da Cibernética: Controle e Libertação","#10b981",0,0
"leia-especialmente","Leia especialmente:","Conceito extraído de: Capítulo 32: A Democracia como Sistema Operacional — Bugs, Patches e um Novo Protocolo","#10b981",0,0
"leia-o-manifesto","Leia o
                                    manifesto","Conceito extraído de: 🔄 Da Teoria à Práxis","#10b981",0,0
"leia-o-ensaio","Leia o ensaio","Conceito extraído de: 🔄 Da Teoria à Práxis","#10b981",0,0
"leitores-precisam-completar-o-ciclo","Leitores precisam completar o
                                ciclo","Conceito extraído de: Mapa Mental: A Teia Conceitual do Livro","#10b981",0,0
"leitura-inicial-linear","Leitura Inicial (Linear):","Conceito extraído de: Mapa Mental: A Teia Conceitual do Livro","#10b981",0,0
"leitura-linear-dos-capítulos-mascara-sincronicidades-históricas-cruciais-cronologia-as-revela","Leitura linear dos capítulos mascara sincronicidades
                            históricas cruciais. Cronologia as revela.","Conceito extraído de: Cronologias Entrelaçadas","#10b981",0,0
"leituras","Leituras:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"lemas","Lemas:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"lembre-se","Lembre-se","Conceito extraído de: Capítulo 3: Capitalismo Digital — Uma Primeira Aproximação","#10b981",0,0
"lembre-se","Lembre-se:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"leonhard-praeg","Leonhard Praeg","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"lex","Lex","Conceito extraído de: Capítulo 13: Sexualidade e Religião na Era Digital: Corpos, Crenças e Comunidades em Rede","#10b981",0,0
"liberdade","Liberdade","Conceito extraído de: Capítulo 26: Nhandereko — O Modo de Ser Guarani como Alternativa ao Extrativismo Digital","#10b981",0,0
"limitação-crítica","Limitação crítica:","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"limitação","Limitação:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"limitações","Limitações:","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"limite","Limite:","Conceito extraído de: Capítulo 11: A Síntese Informacional","#10b981",0,0
"limites-encontrados","Limites Encontrados:","Conceito extraído de: Capítulo 32: A Democracia como Sistema Operacional — Bugs, Patches e um Novo Protocolo","#10b981",0,0
"linguagem-emancipatória-mascarou-imperialismo","Linguagem emancipatória
                                        mascarou imperialismo","Conceito extraído de: Capítulo 31: O Fim da Era Ultrarracionalista: Fascismo Libertário, Neoliberalismo Progressista e
                    Outros
                    Modelos de Captura","#10b981",0,0
"liqi","Liqi","Conceito extraído de: Capítulo 15: O Corpo-Atleta na Arena Digital: A Plataformização dos Esportes e Esports","#10b981",0,0
"literacia-digital-em-inglês","Literacia digital em inglês:","Conceito extraído de: A Revolução Cibernética","#10b981",0,0
"livros-essenciais","Livros essenciais","Conceito extraído de: Capítulo 3: Capitalismo Digital — Uma Primeira Aproximação","#10b981",0,0
"lixo-eletrônico-e-waste","Lixo Eletrônico (E-waste):","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"lição-cap-14","Lição
                        Cap 14:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"lição-1-—-iugoslávia","Lição 1 — Iugoslávia:","Conceito extraído de: Capítulo 19: Outros Experimentos e a Nova Fronteira do Planejamento","#10b981",0,0
"lição-2-—-cuba","Lição 2 — Cuba:","Conceito extraído de: Capítulo 19: Outros Experimentos e a Nova Fronteira do Planejamento","#10b981",0,0
"lição-3-—-sistemas-de-score-china/ocidente","Lição 3 — Sistemas de Score (China/Ocidente):","Conceito extraído de: Capítulo 19: Outros Experimentos e a Nova Fronteira do Planejamento","#10b981",0,0
"lição-4-—-cooperativismo-de-plataforma","Lição 4 — Cooperativismo de Plataforma:","Conceito extraído de: Capítulo 19: Outros Experimentos e a Nova Fronteira do Planejamento","#10b981",0,0
"lição-cap-24","Lição Cap 24:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"lição-central","Lição central:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"lição-de-furtado-atualizada","Lição de Furtado atualizada:","Conceito extraído de: Capítulo 4: Economia Política — Desenvolvimento, Dependência e Periferia","#10b981",0,0
"lição-dialética","Lição dialética:","Conceito extraído de: Capítulo 17: OGAS — A Internet Vermelha da União Soviética","#10b981",0,0
"lição-geopolítica","Lição geopolítica:","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"lição-histórica","Lição histórica:","Conceito extraído de: Cronologias Entrelaçadas","#10b981",0,0
"lição-importante","Lição importante:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"lição-para-a-tecnologia-digital","Lição para a tecnologia digital:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"lição-para-hoje","Lição para hoje:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"lição-chave","Lição-chave:","Conceito extraído de: Capítulo 4: Economia Política — Desenvolvimento, Dependência e Periferia","#10b981",0,0
"lição","Lição:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"lição-filosofia-sem-práxis-política-=-idealismo-ineficaz","Lição: filosofia sem práxis política = idealismo ineficaz.","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#10b981",0,0
"loot-box-caixa-de-recompensa","Loot Box (Caixa de Recompensa):","Conceito extraído de: Capítulo 14: A Engenharia do Vício: Jogos, Apostas e a Extração do Gozo","#10b981",0,0
"lucro-líquido-das-big-techs-com-dados-brasileiros","Lucro líquido das Big Techs com dados brasileiros:","Conceito extraído de: Capítulo 21: A Inserção Subordinada do Brasil na Globalização Digital","#10b981",0,0
"lucro","Lucro:","Conceito extraído de: Capítulo 21: A Inserção Subordinada do Brasil na Globalização Digital","#10b981",0,0
"luta-estratégica","Luta estratégica:","Conceito extraído de: Capítulo 23: A Dupla Face da Cibernética: Controle e Libertação","#10b981",0,0
"luta-legislativa","Luta legislativa:","Conceito extraído de: Capítulo 23: A Dupla Face da Cibernética: Controle e Libertação","#10b981",0,0
"luta","Luta:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"lógica-filosófica","Lógica filosófica","Conceito extraído de: Capítulo 30: O Salto Dialético: Quando a Filosofia se Torna Ciência e Transforma o Mundo","#10b981",0,0
"lógica","Lógica:","Conceito extraído de: Capítulo 11: A Síntese Informacional","#10b981",0,0
"m-pesa-e-mobile-money","M-Pesa e mobile money:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"mais-valia-+-dados-=-capitalismo-de-vigilância","MAIS-VALIA + DADOS = Capitalismo de Vigilância","Conceito extraído de: A Revolução Cibernética","#ef4444",-1,0
"maps-multidisciplinary-association-for-psychedelic-studies","MAPS (Multidisciplinary Association for Psychedelic Studies):","Conceito extraído de: Capítulo 16: A Farmácia Global e a Guerra às Drogas Digital","#10b981",0,0
"mas","MAS","Conceito extraído de: Capítulo 23: A Dupla Face da Cibernética: Controle e Libertação","#10b981",0,0
"matéria-bruta","MATÉRIA BRUTA","Conceito extraído de: Capítulo 29: A Arquitetura Invisível: Como a Comunicação Constrói, Espelha e Transforma a
                    Realidade","#10b981",0,0
"mst-movimento-dos-trabalhadores-rurais-sem-terra","MST (Movimento dos Trabalhadores Rurais Sem Terra)","Conceito extraído de: Capítulo 9: Pós-Operaísmo e a Teoria da Multidão","#10b981",0,0
"mtst-movimento-dos-trabalhadores-sem-teto","MTST (Movimento dos Trabalhadores Sem Teto)","Conceito extraído de: Capítulo 9: Pós-Operaísmo e a Teoria da Multidão","#10b981",0,0
"ma-espaço-negativo-não-escala","Ma (espaço negativo) não escala.","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#10b981",0,0
"maeckelbergh-m-2009the-will-of-the-many-how-the-alterglobalisation-movement-is-changing-the-face-of-democracy","Maeckelbergh, M. (2009).The Will of the Many: How the Alterglobalisation Movement Is
                            Changing the Face of Democracy.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"mais-de-2500-repair-cafés","Mais de 2.500 Repair Cafés:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"mais-valia-absoluta","Mais-Valia Absoluta:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"mais-valia-relativa","Mais-Valia Relativa:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"mais-valia","Mais-Valia:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"mana","Mana","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"manifesto-cibernético","Manifesto Cibernético","Conceito extraído de: Capítulo 32: A Democracia como Sistema Operacional — Bugs, Patches e um Novo Protocolo","#10b981",0,0
"manifesto-ciborgue","Manifesto Ciborgue","Conceito extraído de: Bibliografia Comentada — Cartografia para Expansão Rizomática","#10b981",0,0
"manifesto-comunista","Manifesto Comunista","Conceito extraído de: Capítulo 7: Marxismo e Tecnologia — Debates Clássicos","#10b981",0,0
"manifesto-cripto","Manifesto Cripto","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"manifesto-xenofeminista","Manifesto Xenofeminista","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"mapa-parcial","Mapa Parcial","Conceito extraído de: A Revolução Cibernética","#10b981",0,0
"mapeamento-do-tekoa","Mapeamento do Tekoa:","Conceito extraído de: Capítulo 26: Nhandereko — O Modo de Ser Guarani como Alternativa ao Extrativismo Digital","#10b981",0,0
"maquiladora-digital","Maquiladora Digital:","Conceito extraído de: Capítulo 21: A Inserção Subordinada do Brasil na Globalização Digital","#10b981",0,0
"maquiladoras","Maquiladoras","Conceito extraído de: Capítulo 21: A Inserção Subordinada do Brasil na Globalização Digital","#10b981",0,0
"marco-civil-da-internet","Marco Civil da
                        Internet","Conceito extraído de: Capítulo 11: A Síntese Informacional","#10b981",0,0
"marcuse-h-1964one-dimensional-man","Marcuse, H. (1964).One-Dimensional Man.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"marini-1973","Marini (1973):","Conceito extraído de: Capítulo 4: Economia Política — Desenvolvimento, Dependência e Periferia","#10b981",0,0
"marini-r-m-1973dialética-da-dependência","Marini, R. M. (1973).Dialética da Dependência.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"mario-blaser","Mario Blaser","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"mario-tronti","Mario Tronti","Conceito extraído de: Capítulo 7: Marxismo e Tecnologia — Debates Clássicos","#10b981",0,0
"mark-andrejevic","Mark Andrejevic","Conceito extraído de: Capítulo 15: O Corpo-Atleta na Arena Digital: A Plataformização dos Esportes e Esports","#10b981",0,0
"mark-dery","Mark Dery","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"marx-cap-1","Marx (Cap 1):","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#ef4444",-1,0
"marx-at-the-arcade","Marx at the Arcade","Conceito extraído de: Capítulo 15: O Corpo-Atleta na Arena Digital: A Plataformização dos Esportes e Esports","#ef4444",-1,0
"marx-explica","Marx explica:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#ef4444",-1,0
"marx-in-the-anthropocene","Marx in the Anthropocene","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#ef4444",-1,0
"marx-inicia-com-mercadoria","Marx inicia com mercadoria:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#ef4444",-1,0
"marx-viu-isso-claramente","Marx viu isso claramente:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#ef4444",-1,0
"marx-k-1857grundrissefragmento-sobre-as-máquinas","Marx, K. (1857).Grundrisse(Fragmento sobre as Máquinas).","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#ef4444",-1,0
"marx-k-1867o-capital-livro-icapítulo-1-a-mercadoria","Marx, K. (1867).O Capital, Livro I(Capítulo 1: A Mercadoria).","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#ef4444",-1,0
"marx-k-1867o-capital-livro-i-capítulo-vi-inédito","Marx, K. (1867).O Capital, Livro I, Capítulo VI (Inédito).","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#ef4444",-1,0
"marx-a-very-short-introduction","Marx: A Very Short Introduction","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#ef4444",-1,0
"marxismo-cibernético","Marxismo Cibernético:","Conceito extraído de: Capítulo 11: A Síntese Informacional","#ef4444",-1,0
"marxismo-do-movimento-operário","Marxismo do Movimento Operário:","Conceito extraído de: Capítulo 10: A Crítica do Valor (Wertkritik)","#ef4444",-1,0
"marxists-internet-archive-seção-brasil","Marxists Internet Archive (seção Brasil)","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#ef4444",-1,0
"mas","Mas","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"mas-a-história-não-acabou-aí","Mas a história não acabou aí.","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#ef4444",-1,0
"mas-apenas-se-você-agir","Mas apenas se você agir","Conceito extraído de: Capítulo 30: O Salto Dialético: Quando a Filosofia se Torna Ciência e Transforma o Mundo","#10b981",0,0
"mas-o-comunismo-cibernético-também-é-possível","Mas o comunismo cibernético também é possível.","Conceito extraído de: Capítulo 24: Políticas para o Antropoceno Digital","#3b82f6",1,0
"mas-o-processo-não-termina","Mas o processo não termina:","Conceito extraído de: Capítulo 30: O Salto Dialético: Quando a Filosofia se Torna Ciência e Transforma o Mundo","#10b981",0,0
"mas-paradoxos-não-são-bugs-—-são-features","Mas paradoxos não são bugs — são
                        features.","Conceito extraído de: Metareflexão: O Loop Que Não Fecha","#10b981",0,0
"mas-quase-ganhou-491%-vs-509%-porque","Mas quase ganhou (49,1% vs 50,9%) porque:","Conceito extraído de: Capítulo 31: O Fim da Era Ultrarracionalista: Fascismo Libertário, Neoliberalismo Progressista e
                    Outros
                    Modelos de Captura","#10b981",0,0
"mas-quem-controla-o-salto","Mas quem controla o salto?","Conceito extraído de: Capítulo 30: O Salto Dialético: Quando a Filosofia se Torna Ciência e Transforma o Mundo","#10b981",0,0
"mas","Mas:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"mastodon","Mastodon","Conceito extraído de: Capítulo 32: A Democracia como Sistema Operacional — Bugs, Patches e um Novo Protocolo","#10b981",0,0
"mastodon-e-fediverse","Mastodon e Fediverse:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"matematicamente-impossível","Matematicamente impossível","Conceito extraído de: Capítulo 18: Projeto Cybersyn — A Cibernética com Cheiro de Vinho Tinto e Empanadas","#10b981",0,0
"matilal-bimal-krishna","Matilal, Bimal Krishna","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#10b981",0,0
"matrix","Matrix","Conceito extraído de: Capítulo 32: A Democracia como Sistema Operacional — Bugs, Patches e um Novo Protocolo","#10b981",0,0
"maturana-h-&-varela-f-1987-linguagem-e-realidade-ema-árvore-do-conhecimento","Maturana, H., & Varela, F. (1987). ""Linguagem e Realidade"" emA Árvore do
                            Conhecimento.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"maturana-h-&-varela-f-1987a-árvore-do-conhecimento","Maturana, H., & Varela, F. (1987).A Árvore do Conhecimento.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"maurizio-lazzarato","Maurizio Lazzarato","Conceito extraído de: Capítulo 8: Trabalho Imaterial, Cognitivo e Afetivo","#10b981",0,0
"mbembe-a-2001on-the-postcolony","Mbembe, A. (2001).On the Postcolony.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"mbembe-a-2018necropolítica","Mbembe, A. (2018).Necropolítica.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"mborayu","Mborayu","Conceito extraído de: Capítulo 26: Nhandereko — O Modo de Ser Guarani como Alternativa ao Extrativismo Digital","#10b981",0,0
"mborayu","Mborayu:","Conceito extraído de: Capítulo 26: Nhandereko — O Modo de Ser Guarani como Alternativa ao Extrativismo Digital","#10b981",0,0
"mcmindfulness-how-mindfulness-became-the-new-capitalist-spirituality","McMindfulness: How Mindfulness Became the New Capitalist
                        Spirituality","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#ef4444",-1,0
"mecanismos-de-colonização-cultural","Mecanismos de colonização cultural:","Conceito extraído de: Capítulo 21: A Inserção Subordinada do Brasil na Globalização Digital","#10b981",0,0
"medidas-implementadas","Medidas implementadas:","Conceito extraído de: Capítulo 22: Necropolítica Digital e o Fascismo de Tela — A Máquina de Morte Algorítmica","#10b981",0,0
"medina-e-2011cybernetic-revolutionaries","Medina, E. (2011).Cybernetic Revolutionaries.","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"medindo-a-informação","Medindo a Informação:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"mensagem-central-deste-capítulo","Mensagem central deste capítulo:","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#10b981",0,0
"mensagem-central","Mensagem central:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"mensagem-final","Mensagem final:","Conceito extraído de: Capítulo 22: Necropolítica Digital e o Fascismo de Tela — A Máquina de Morte Algorítmica","#10b981",0,0
"mensagem-subliminar","Mensagem subliminar:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"mensagem-chave","Mensagem-Chave:","Conceito extraído de: Capítulo 7: Marxismo e Tecnologia — Debates Clássicos","#10b981",0,0
"mensagem","Mensagem:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#10b981",0,0
"mensakas","Mensakas","Conceito extraído de: Capítulo 23: A Dupla Face da Cibernética: Controle e Libertação","#10b981",0,0
"mentira","Mentira:","Conceito extraído de: Recursos para Ação","#10b981",0,0
"mercado-bilater-al","Mercado Bilater al:","Conceito extraído de: Capítulo 13: Sexualidade e Religião na Era Digital: Corpos, Crenças e Comunidades em Rede","#10b981",0,0
"mercadoria","Mercadoria:","Conceito extraído de: Capítulo 1: Introdução ao Marxismo — Mercadoria, Valor e Capital","#ef4444",-1,0
"mercantilização-total-das-esferas-íntimas","Mercantilização total das esferas íntimas","Conceito extraído de: A Revolução Cibernética","#10b981",0,0
"mercantilização","Mercantilização:","Conceito extraído de: A Revolução Cibernética","#10b981",0,0
"mesma-estrutura-300-anos-depois","Mesma estrutura, 300 anos depois:","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"mesma-ferramenta-objetivos-opostos","Mesma ferramenta, objetivos opostos","Conceito extraído de: Capítulo 18: Projeto Cybersyn — A Cibernética com Cheiro de Vinho Tinto e Empanadas","#10b981",0,0
"mesma-lógica-de-exploração","Mesma lógica de exploração","Conceito extraído de: Capítulo 8: Trabalho Imaterial, Cognitivo e Afetivo","#10b981",0,0
"mesma-lógica-de-sempre","Mesma lógica de sempre:","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#10b981",0,0
"mesma-matemática-usos-opostos","Mesma matemática, usos opostos.","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#10b981",0,0
"mesma-substância-status-diferente-conforme-contexto","Mesma substância, status diferente conforme contexto:","Conceito extraído de: Capítulo 16: A Farmácia Global e a Guerra às Drogas Digital","#10b981",0,0
"mesma-tecnologia-sistemas-de-pagamento-usos-opostos","Mesma tecnologia (sistemas de pagamento), usos
                                        opostos","Conceito extraído de: Capítulo 20: A Guerra das Redes: Geopolítica Cibernética, BRICS Pay e a Batalha pelos Meios de
                    Pagamento","#10b981",0,0
"meta-função-desta-cronologia","Meta-função desta cronologia:","Conceito extraído de: Cronologias Entrelaçadas","#10b981",0,0
"meta-função-deste-apêndice","Meta-função deste apêndice:","Conceito extraído de: Biografias — Vidas que Pensaram o Mundo","#10b981",0,0
"meta-função","Meta-função:","Conceito extraído de: Glossário Completo","#10b981",0,0
"meta-insight","Meta-insight:","Conceito extraído de: Cronologias Entrelaçadas","#10b981",0,0
"meta-reflexão","Meta-reflexão","Conceito extraído de: Capítulo 30: O Salto Dialético: Quando a Filosofia se Torna Ciência e Transforma o Mundo","#10b981",0,0
"metabolismo-local","Metabolismo Local:","Conceito extraído de: Capítulo 11: A Síntese Informacional","#10b981",0,0
"metacontrolador","Metacontrolador:","Conceito extraído de: Capítulo 25: O Dragão Cibernético: China e a Explosão Informacional da Cibernética de Segunda
                    Ordem","#10b981",0,0
"metaphors-we-live-by","Metaphors We Live By","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"metaverso-cristão","Metaverso cristão","Conceito extraído de: Capítulo 13: Sexualidade e Religião na Era Digital: Corpos, Crenças e Comunidades em Rede","#10b981",0,0
"metáfora-biológica","Metáfora biológica:","Conceito extraído de: Mapa Mental: A Teia Conceitual do Livro","#10b981",0,0
"mia-mingus","Mia
                                Mingus","Conceito extraído de: Capítulo 12: Ciberfeminismo, Afrofuturismo e Ecossocialismo Digital","#10b981",0,0
"militância-cínica-amarga-autopunitiva-alimenta-necropolítica-—-alegria-é-insurreição","Militância cínica, amarga, autopunitiva alimenta necropolítica — alegria é insurreição","Conceito extraído de: Capítulo 22: Necropolítica Digital e o Fascismo de Tela — A Máquina de Morte Algorítmica","#10b981",0,0
"milícias-digitais","Milícias Digitais:","Conceito extraído de: Capítulo 22: Necropolítica Digital e o Fascismo de Tela — A Máquina de Morte Algorítmica","#10b981",0,0
"mind-in-society","Mind in Society","Conceito extraído de: Guia de Leituras Complementares por Capítulo","#10b981",0,0
"mindfulness-corporativo","Mindfulness corporativo:","Conceito extraído de: Capítulo 28: Síntese das Cosmotécnicas Plurais — Ubuntu, Sumak Kawsay e a Revolução Digital
                    Decolonial","#10b981",0,0
"mineração-=-devastação-ambiental-+-trabalho-análogo-à-escravidão","Mineração = devastação ambiental + trabalho análogo à escravidão.","Conceito extraído de: Capítulo 2: Introdução à Cibernética — Dos Primórdios aos Fundamentos","#ef4444",-1,0
"minimalismo-radical","Minimalismo radical:","Conceito extraído de: Capítulo 27: Epistemologias Orientais e a Crítica ao Extrativismo Digital","#10b981",0,0
